epoch,amape,loss,val_amape,val_loss
0,24.042646408081055,1.0446053743362427,13.303568840026855,0.6947762370109558
1,25.32894515991211,0.8209307789802551,13.512402534484863,0.6974570751190186
2,23.100900650024414,0.688371479511261,14.342066764831543,0.7086284160614014
3,20.33866310119629,0.6073400974273682,19.56669044494629,0.8546814322471619
4,17.79668617248535,0.5444974303245544,29.64304542541504,1.5630979537963867
5,17.01300621032715,0.48936259746551514,35.75237274169922,10.656187057495117
6,24.04947280883789,0.46100950241088867,36.13467788696289,11.357357025146484
7,15.540022850036621,0.43298181891441345,36.20740509033203,11.444768905639648
8,15.156251907348633,0.4116680920124054,36.21302032470703,11.460161209106445
9,14.67188549041748,0.396160364151001,36.27470016479492,11.56523323059082
10,15.071327209472656,0.3845973014831543,36.29619598388672,11.586146354675293
11,13.877962112426758,0.3731955587863922,36.303157806396484,11.58905029296875
12,14.706344604492188,0.3876693844795227,36.340187072753906,11.607953071594238
13,14.046515464782715,0.3588980436325073,36.370182037353516,11.644132614135742
14,13.095391273498535,0.3551965355873108,36.36130142211914,11.63420295715332
15,13.505073547363281,0.3389746844768524,36.33913040161133,11.608784675598145
16,12.886677742004395,0.32621899247169495,36.315826416015625,11.595796585083008
17,13.123902320861816,0.316617488861084,36.31825637817383,11.5961275100708
18,11.76344108581543,0.3066021800041199,36.310977935791016,11.59309196472168
19,16.328767776489258,0.29608696699142456,36.30498504638672,11.591448783874512
20,11.856461524963379,0.2852623760700226,36.31093215942383,11.593802452087402
21,12.032134056091309,0.2760060429573059,36.304996490478516,11.59158992767334
22,11.115143775939941,0.2661472260951996,36.30617904663086,11.591325759887695
23,9.983159065246582,0.25658896565437317,36.31636428833008,11.595477104187012
24,10.956480026245117,0.24608981609344482,36.30961990356445,11.59257698059082
25,9.991226196289062,0.23686359822750092,36.2982292175293,11.589127540588379
26,9.279479026794434,0.22519034147262573,36.283634185791016,11.583693504333496
27,8.611517906188965,0.2152545005083084,36.27305221557617,11.576329231262207
28,8.376550674438477,0.20519492030143738,36.26266860961914,11.565516471862793
29,8.3466796875,0.19515115022659302,36.25341796875,11.55250072479248
30,7.987967014312744,0.18505600094795227,36.248992919921875,11.546442031860352
31,6.882702350616455,0.17526711523532867,36.25008010864258,11.548361778259277
32,6.864701271057129,0.16511224210262299,36.251373291015625,11.550788879394531
33,6.3838677406311035,0.1553516834974289,36.24534225463867,11.542963981628418
34,6.034679412841797,0.1450841873884201,36.237144470214844,11.53225326538086
35,5.517720699310303,0.1345730870962143,36.224273681640625,11.512968063354492
36,5.477916717529297,0.1254851520061493,36.23543167114258,11.532215118408203
